itemSort,itemNum,type,metal,style,size,attr1,attr2,side1lang,side1symb,side2lang,side2symb,label,customerNum,batchNum,orderNum
CGOA,CGOA,Cartouche,18K,Open,,,,Hiero,JULIEW,,,JULIE W,SIG,D51,H36090100101
CGOA,CGOA,Cartouche,18K,Open,,,,Hiero,MARIE,,,MARIE,SIG,D51,P84316070001
CGOA,CGOA,Cartouche,18K,Open,,,,Hiero,BONNIE,,,BONNIE,SIG,D51,P84342060001
CGOA,CGOA-18,Cartouche,18K,Open,,,,Hiero,CHRESSY,,,CHRISSY,SIG,D51,P84268340001
CGO ,CGOL,Cartouche,18K,Open,Large,,,Hiero,FLEMING,,,FLEMING,AMZ,D51,104-0192991-7188256
CGO ,CGOS,Cartouche,18K,Open,Small,,,Hiero,MJ<,,,MJ HLH,AMZ,D51,103-3726539-7272256
CSBSM-ON,CSBSM-ON,Cartouche,Silver,,Medium,Onyx,,Hiero,CARLA,,,CARLA,RET,D51,109-0169369-3261038
C2S,C2S-S,Cartouche,Silver,,Large,2 sided,,Hiero,LOVEU,English,LOVEYOU,LOVEYOU,SIG,D51,H36070190101
C2S,C2S-L,Cartouche,Silver,,Small,2 sided,,Hiero,JUDITH,Hiero,TONY,JUDITH,SIG,D51,P84277190001
C2S,C2S-S,Cartouche,Silver,,Large,2 sided,,Greek,GRP,English,GRP,GRP,SIG,D51,H36087550001
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,MARTI,,,MARTI,SIG,D51,P84292570001
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,STEPH,,,STEPH,SIG,D51,R10070440001
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,DANE8LL8,,,DANIELLE,SIG,D51,R10070540001
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,JJW0D0MS,,,JJWADAMS,SIG,D51,H36095070001
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,BAYL8Y,,,BAYLEY,SIG,D51,H36097440001
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,6ALLISON<,,,ALLISON,SIG,D51,I27010340101
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,$MELLODY@,,,MELODY,SIG,D51,I27010340102
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,THE MAN,,,THE MAN,SIG,D51,I27010340103
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,RUTH,,,RUTH,SIG,D51,I27010340104
CSOA,CSOA-18,Cartouche,Silver,,,,,Hiero,LAUREN,,,LAUREN,SIG,D51,H36101260101
CSOA,CSOA,Cartouche,Silver,,,,,Hiero,LINDA,,,LINDA,SIG,D51,P84318260001
CSOA,CSOA,Cartouche,Silver,,,,,Hiero,PATMAC,,,PATMAC,SIG,D51,P84322510001
RWED,RWEDS-S,Ring Band,Silver,,6,,,Hiero,JOANNA,,,JOANNA,SIG,D51,P84315650001
RWED,RWEDS-G,Ring Band,18k,,10.5,,,Hiero,PAULH,,,PAUL H,SIG,D51,H36111360001
BB,BB-S,Bracelet,Silver,Bangle,,DieCut,Oxidized,Hiero,NICOLE,,,NICOLE,SIG,D51,P84330720001
CSO,CSOL,Cartouche,Silver,Open,Large,,,Hiero,EL80ZAR,,,ELIAZAR,AMZ,D51,108-1524911-1865832
CSO,CSOL,Cartouche,Silver,Open,Large,,,Hiero,ASHLEY,,,ASHLEY,AMZ,D51,104-0192991-7188256
CSO,CSOL,Cartouche,Silver,Open,Large,,,Hiero,SHANNON,,,SHANNON,AMZ,D51,104-0192991-7188256
CSO,CSOL,Cartouche,Silver,Open,Large,,,Hiero,ASHLEN,,,ASHLYN,AMZ,D51,111-7751020-5825824
CSO,CSOM,Cartouche,Silver,Open,Medium,,,Hiero,KAT8E,,,KATIE,AMZ,D51,103-3726539-7272256
CSO,CSOM,Cartouche,Silver,Open,Medium,,,Hiero,TONYA,,,TONYA,AMZ,D51,109-0169369-3261038
CSO,CSOM-Z,Cartouche,Silver,Open,Medium,,,Astro,JKLAB,,,ALICE,PYB,D51,J81050160001
CSSL,CSSL,Cartouche,Silver,Solid,Large,,,Hiero,JOHNB,,,JOHN B,AMZ,D51,2
CSSL,CSSL,Cartouche,Silver,Solid,Large,,,Hiero,CR)TINA,,,CRISTINA,AMZ,D51,1
CSSM,CSSM,Cartouche,Silver,Solid,Medium,,,Hiero,JENI6,,,JENI + ANKH,RET,D51,2
